iter	Logloss
0	0.6870285206
1	0.6807707883
2	0.6749190427
3	0.6694720408
4	0.6634810373
5	0.6578419718
6	0.6525318703
7	0.6469992305
8	0.6418751063
9	0.6366811602
10	0.6320001838
11	0.6268282687
12	0.6218969795
13	0.617342831
14	0.6121928183
15	0.6077229789
16	0.6033481212
17	0.5983999874
18	0.593745971
19	0.589271374
20	0.5854943951
21	0.5814466155
22	0.5776412621
23	0.5737151242
24	0.569514071
25	0.5657342204
26	0.5621767366
27	0.5583348649
28	0.5547524784
29	0.5518601664
30	0.5484792302
31	0.5456047487
32	0.5421608914
33	0.5388267603
34	0.5361580152
35	0.5329586843
36	0.5303535033
37	0.527193991
38	0.5245684506
39	0.5218025808
40	0.5185952347
41	0.5157646008
42	0.5133567553
43	0.5106071301
44	0.5083025386
45	0.5061069017
46	0.5036212192
47	0.5010585999
48	0.4982337523
49	0.4959121018
50	0.4933282231
51	0.4910154021
52	0.4887384565
53	0.4864462949
54	0.4845116862
55	0.4825776775
56	0.4806261384
57	0.4786062348
58	0.4769623574
59	0.4749153652
60	0.4733118636
61	0.4714839378
62	0.4697577659
63	0.4680063055
64	0.4660352214
65	0.4643508825
66	0.4628899821
67	0.4612737506
68	0.4595443211
69	0.4584681479
70	0.4567467336
71	0.4552600303
72	0.4535519032
73	0.4521803267
74	0.4510507048
75	0.4498922798
76	0.4485936111
77	0.4473618497
78	0.4462103254
79	0.4449810928
80	0.4435048907
81	0.4422327963
82	0.4414332101
83	0.4403594371
84	0.4391258325
85	0.4378914994
86	0.4365476973
87	0.4355476465
88	0.4345992013
89	0.4336484845
90	0.4326150444
91	0.4314990526
92	0.4304730705
93	0.4292888856
94	0.4282467446
95	0.4272292919
96	0.4261873224
97	0.4252795959
98	0.4246329833
99	0.4237628894
100	0.4229584597
101	0.4221941916
102	0.4210481537
103	0.4204350161
104	0.4197412555
105	0.4187379473
106	0.4178377644
107	0.4170184618
108	0.4162846254
109	0.415553318
110	0.414876445
111	0.4143811344
112	0.4134058577
113	0.4128864588
114	0.4120557121
115	0.4114009986
116	0.4107866609
117	0.4102334012
118	0.4096765411
119	0.4089413332
120	0.4083025643
121	0.4076415501
122	0.4073338026
123	0.4068124321
124	0.4061539039
125	0.4055809278
126	0.4050417268
127	0.4042390973
128	0.4036982676
129	0.4031268345
130	0.4025095393
131	0.401861598
132	0.4012045271
133	0.4010005908
134	0.4005042087
135	0.4000552317
136	0.3995843094
137	0.3990041326
138	0.398521209
139	0.3980490009
140	0.3976773037
141	0.3970661806
142	0.3966174608
143	0.3962863536
144	0.3957579966
145	0.3952795307
146	0.3947259281
147	0.394338072
148	0.3939570738
149	0.3933826404
150	0.3930324597
151	0.3926808218
152	0.3922206579
153	0.3920432101
154	0.3917541504
155	0.3911419986
156	0.3904830418
157	0.3900385653
158	0.3895321107
159	0.3888779544
160	0.3883994027
161	0.3879440822
162	0.3874155966
163	0.3870265832
164	0.3868676518
165	0.3865803494
166	0.386385114
167	0.3860342904
168	0.3856646077
169	0.3855056763
170	0.385122835
171	0.3848437191
172	0.3845472872
173	0.3841574165
174	0.3836848227
175	0.3832547477
176	0.3828991665
177	0.3825540007
178	0.3820988944
179	0.3816295152
180	0.3813858032
181	0.38103828
182	0.3806401799
183	0.3803717795
184	0.3799832805
185	0.3796246132
186	0.3794529947
187	0.3792776901
188	0.3791463616
189	0.3789772719
190	0.3786587233
191	0.3783962807
192	0.3780482431
193	0.3777164073
194	0.3774202754
195	0.3770905398
196	0.3766809956
197	0.3763341582
198	0.3760258535
199	0.3757716833
200	0.3755318288
201	0.3753188058
202	0.3749176197
203	0.3747269705
204	0.374295524
205	0.3740728143
206	0.3738898802
207	0.3735329703
208	0.373281586
209	0.373028273
210	0.3727098101
211	0.3725790817
212	0.3723918186
213	0.3720445954
214	0.3719949615
215	0.3716898715
216	0.3713263608
217	0.3711350687
218	0.3709372188
219	0.3707328968
220	0.3705296891
221	0.3703671573
222	0.3700124333
223	0.3698148406
224	0.3695594702
225	0.3693593057
226	0.3692137043
227	0.3691834868
228	0.3688637808
229	0.3685495612
230	0.3681837361
231	0.3678175251
232	0.3676042021
233	0.3675202788
234	0.3673196857
235	0.3671750701
236	0.3670265969
237	0.3668178601
238	0.3666020511
239	0.3665351439
240	0.3662167667
241	0.3660670934
242	0.3659360221
243	0.3656757655
244	0.3653618459
245	0.3651046324
246	0.3648307886
247	0.3646439542
248	0.3645204694
249	0.3644073143
250	0.3643149044
251	0.3641506581
252	0.363884015
253	0.363747586
254	0.3633446854
255	0.363235988
256	0.3630333375
257	0.3628196716
258	0.362593833
259	0.3624252148
260	0.3623393627
261	0.3621731019
262	0.361958793
263	0.3617765877
264	0.3616053978
265	0.3615350616
266	0.3614566246
267	0.3612170273
268	0.3609834307
269	0.360822099
270	0.3606843413
271	0.3604437582
272	0.360226749
273	0.3600051108
274	0.359913601
275	0.3597588271
276	0.3595689924
277	0.3593485972
278	0.3592718103
279	0.3590830256
280	0.3589437892
281	0.3588350275
282	0.3587144787
283	0.3584662234
284	0.358386972
285	0.3581392953
286	0.3579756276
287	0.3577479245
288	0.3576803529
289	0.3576696589
290	0.3575729627
291	0.3574606649
292	0.3572474919
293	0.3570858816
294	0.3569261572
295	0.3567234854
296	0.3565366724
297	0.3564565423
298	0.3562870669
299	0.3561015183
300	0.3559795122
301	0.3557683538
302	0.3557505018
303	0.3556338321
304	0.3553938705
305	0.3552570557
306	0.3551219983
307	0.3550396394
308	0.3547655599
309	0.3545777396
310	0.3545587733
311	0.354358716
312	0.3543291199
313	0.3541999131
314	0.3540784429
315	0.3539830326
316	0.353714075
317	0.3536969731
318	0.3535591297
319	0.353367709
320	0.3532335088
321	0.3532175214
322	0.353158415
323	0.3531101741
324	0.3529856607
325	0.3528924149
326	0.3526879214
327	0.3525246181
328	0.3523210676
329	0.3523175743
330	0.3522916644
331	0.3522033691
332	0.3518323363
333	0.3517109946
334	0.3516104195
335	0.3514529453
336	0.3512828698
337	0.3512097048
338	0.351076469
339	0.3509506697
340	0.350524088
341	0.3505176373
342	0.3504956706
343	0.3502652458
344	0.3500878195
345	0.3498521869
346	0.3497188868
347	0.3495528832
348	0.3494513865
349	0.3492466359
350	0.3490422924
351	0.349027205
352	0.3488461784
353	0.3485750563
354	0.348526301
355	0.3483413096
356	0.348226783
357	0.3481517749
358	0.3478346621
359	0.3477203069
360	0.3476937755
361	0.3476562714
362	0.347612231
363	0.3474157312
364	0.3473773699
365	0.3472995115
366	0.3471620538
367	0.3469283286
368	0.3468059368
369	0.3466676862
370	0.3463752832
371	0.3461847198
372	0.34610744
373	0.3459370217
374	0.3458265669
375	0.3457680391
376	0.3457076255
377	0.3456350605
378	0.3455310136
379	0.3454815297
380	0.3453953775
381	0.3451989849
382	0.3450642489
383	0.3450200799
384	0.3447749534
385	0.344612936
386	0.3444756283
387	0.3444135644
388	0.3443029168
389	0.3440540185
390	0.3440135141
391	0.3435521072
392	0.3434674124
393	0.3432368589
394	0.3430266648
395	0.34273049
396	0.3426361084
397	0.342419485
398	0.3423077873
399	0.3422189348
400	0.342208348
401	0.342129268
402	0.3419351042
403	0.3418482877
404	0.3418251209
405	0.3418141483
406	0.3417632071
407	0.3417487841
408	0.3416631034
409	0.3415338323
410	0.341449909
411	0.3414030397
412	0.3413736151
413	0.3413542201
414	0.3412241989
415	0.3411059219
416	0.3410329712
417	0.3407909522
418	0.3406878053
419	0.3406487368
420	0.3404348352
421	0.3403340458
422	0.340183901
423	0.3399632486
424	0.3398741604
425	0.3397464109
426	0.3397202867
427	0.3395045205
428	0.3394047384
429	0.3392550008
430	0.3392134034
431	0.3391749564
432	0.3389823999
433	0.3388761027
434	0.3387699984
435	0.3386785529
436	0.3385156353
437	0.338446585
438	0.3383718341
439	0.3383117419
440	0.3382514996
441	0.3381615114
442	0.3381017621
443	0.3380497279
444	0.3378368763
445	0.3377853779
446	0.3377203995
447	0.3375815917
448	0.3373274214
449	0.3372766302
450	0.3371445088
451	0.3370338611
452	0.3369971715
453	0.3369242636
454	0.3367902777
455	0.3367800338
456	0.3363916419
457	0.3362943028
458	0.3362535627
459	0.3361352642
460	0.3360042143
461	0.3359086326
462	0.3357432076
463	0.3355849405
464	0.3353993705
465	0.3352553121
466	0.3350461038
467	0.3350362242
468	0.3349714386
469	0.3349382208
470	0.3347459214
471	0.3346655342
472	0.3345658806
473	0.3344390312
474	0.3343585797
475	0.3342493036
476	0.3341707808
477	0.3337968333
478	0.3336158924
479	0.3333653225
480	0.3333477277
481	0.3332595611
482	0.3331483777
483	0.33278581
484	0.3327127092
485	0.332702251
486	0.3325057512
487	0.3324779553
488	0.3323352257
489	0.3322958143
490	0.3321773658
491	0.3319881096
492	0.3318888203
493	0.3317429189
494	0.3316999285
495	0.3316443797
496	0.3316267206
497	0.3315666713
498	0.3315514982
499	0.3315032359
500	0.3314121546
501	0.3312938133
502	0.3312272275
503	0.3311463688
504	0.3309992672
505	0.3307806722
506	0.3307129506
507	0.3305353529
508	0.3304126182
509	0.3303773001
510	0.3302495292
511	0.3301135717
512	0.3297504897
513	0.3296487358
514	0.3294428708
515	0.329398766
516	0.3293743348
517	0.3292643515
518	0.3291610761
519	0.3290022946
520	0.3289759775
521	0.3289431883
522	0.3288020873
523	0.3287065913
524	0.3286160244
525	0.3285588468
526	0.3284750735
527	0.3283924574
528	0.3283429949
529	0.3283119416
530	0.3281785986
531	0.3280547067
532	0.3280018367
533	0.3279146344
534	0.3277646183
535	0.3277324291
536	0.327357903
537	0.3273370721
538	0.3271968713
539	0.3271620247
540	0.3271216918
541	0.327089974
542	0.3269865915
543	0.3269784477
544	0.3268488766
545	0.3267737828
546	0.3267169052
547	0.3266185803
548	0.3263041036
549	0.3261435434
550	0.3260132865
551	0.3259638026
552	0.3258740286
553	0.3257533084
554	0.3256222157
555	0.3254890871
556	0.3254248373
557	0.3253933339
558	0.3253893906
559	0.3251417782
560	0.3249658735
561	0.3248735278
562	0.3248473607
563	0.3246983303
564	0.3246594761
565	0.3245477141
566	0.3244351591
567	0.3243081382
568	0.3241289975
569	0.323896601
570	0.3237034444
571	0.3236198854
572	0.3234391802
573	0.323268376
574	0.3230951288
575	0.322975373
576	0.3228488879
577	0.3228229351
578	0.3226572315
579	0.3226142198
580	0.3225442265
581	0.3224659609
582	0.3224297856
583	0.3221916885
584	0.3218552879
585	0.3217276241
586	0.3215099078
587	0.3213338316
588	0.3211918734
589	0.3210954559
590	0.3209291737
591	0.3208879835
592	0.3208256839
593	0.320796838
594	0.3206749177
595	0.320619626
596	0.3204955412
597	0.3203443034
598	0.3202515077
599	0.3201527542
600	0.3200080529
601	0.3199638195
602	0.3198415349
603	0.3197827286
604	0.3196234114
605	0.3196057523
606	0.3194616939
607	0.3193075844
608	0.3191090916
609	0.3189862712
610	0.3189261361
611	0.3188235251
612	0.3186929467
613	0.3185194208
614	0.3184658651
615	0.3184279538
616	0.3182237175
617	0.3180781804
618	0.3180246889
619	0.3178650931
620	0.3176627856
621	0.3175340717
622	0.3174554203
623	0.317358317
624	0.3172862021
625	0.3172205379
626	0.3171540164
627	0.3170782582
628	0.3169154907
629	0.316768089
630	0.3167289348
631	0.3165236055
632	0.3164652707
633	0.3163384427
634	0.3162524405
635	0.3161950701
636	0.3160645346
637	0.3160537977
638	0.3159303129
639	0.315843475
640	0.3157095748
641	0.3155347417
642	0.3154662486
643	0.315371867
644	0.3151957265
645	0.3150950228
646	0.3149492714
647	0.3148827714
648	0.3148183073
649	0.3147418847
650	0.314655454
651	0.3145768241
652	0.3144664336
653	0.3143437418
654	0.3142392019
655	0.3141218464
656	0.3140042337
657	0.3138906929
658	0.3138354441
659	0.3137401195
660	0.3135893104
661	0.3134976291
662	0.3134471165
663	0.3132971217
664	0.3131817593
665	0.3130657325
666	0.3128319215
667	0.3127200952
668	0.3126856772
669	0.3124087473
670	0.3123367395
671	0.3121544056
672	0.312072411
673	0.3119748576
674	0.3116776113
675	0.3113909946
676	0.3111525118
677	0.3110652452
678	0.3109870225
679	0.3108937553
680	0.3108832327
681	0.3107942303
682	0.3106599229
683	0.3105808001
684	0.3105407029
685	0.31050007
686	0.3104629302
687	0.3103516825
688	0.3102809606
689	0.3101919796
690	0.3101551399
691	0.3100818248
692	0.3099804567
693	0.3099387522
694	0.3098967049
695	0.3098688876
696	0.3098530287
697	0.3097662336
698	0.3096899826
699	0.309338066
700	0.3093008834
701	0.3092348549
702	0.3089485168
703	0.3089099413
704	0.308868151
705	0.3087033904
706	0.3085620752
707	0.3085458734
708	0.3084623787
709	0.3084339185
710	0.3082974466
711	0.3082280105
712	0.3081883634
713	0.3080993824
714	0.3080369756
715	0.307980291
716	0.3079092904
717	0.3078403687
718	0.3077632175
719	0.3077142694
720	0.3076860664
721	0.3075974711
722	0.3074809728
723	0.3074004784
724	0.3073849624
725	0.3073803548
726	0.3073292207
727	0.307277208
728	0.3072459832
729	0.3069748611
730	0.3068884303
731	0.3065884622
732	0.3065164973
733	0.3064300451
734	0.3062934447
735	0.3061174971
736	0.306059248
737	0.3059963698
738	0.3059182542
739	0.3057548009
740	0.3057109104
741	0.3056348308
742	0.3053492428
743	0.3052615476
744	0.3052563614
745	0.3052324016
746	0.3049660372
747	0.3049270758
748	0.304851382
749	0.3047542786
750	0.3046370946
751	0.3045746664
752	0.3044935291
753	0.3044668905
754	0.3043483991
755	0.3043112594
756	0.3041601074
757	0.3040384443
758	0.3036935356
759	0.3035065297
760	0.3034260568
761	0.3033265532
762	0.3031334609
763	0.3030986357
764	0.3030351789
765	0.3029795014
766	0.3027502767
767	0.3025838445
768	0.3025442402
769	0.3024986996
770	0.3022844765
771	0.3022474225
772	0.3020936773
773	0.3019382177
774	0.3017122933
775	0.3015112288
776	0.3013611268
777	0.3012859473
778	0.3009937586
779	0.3008226116
780	0.300763891
781	0.3005284084
782	0.3004764385
783	0.3004176751
784	0.3003407168
785	0.3001765991
786	0.3000612152
787	0.2999975869
788	0.2999088845
789	0.2998456633
790	0.2997266791
791	0.299555382
792	0.2995264503
793	0.2993374299
794	0.2992455772
795	0.2989874422
796	0.2989493381
797	0.2987880064
798	0.2987836988
799	0.2987346863
800	0.2986765658
801	0.2985623392
802	0.2983257637
803	0.2982484196
804	0.2982440691
805	0.2981670894
806	0.2980070436
807	0.2978275599
808	0.2977256775
809	0.2976791296
810	0.2974675854
811	0.2973664102
812	0.2972318885
813	0.2970236446
814	0.2967057175
815	0.2966613555
816	0.2963412424
817	0.296285865
818	0.2962817503
819	0.2960174861
820	0.2959380846
821	0.2958521682
822	0.2957764529
823	0.2955925759
824	0.2955250686
825	0.2953102883
826	0.2952561539
827	0.2951486995
828	0.2949216178
829	0.2947477276
830	0.2946774772
831	0.2945268824
832	0.2944947361
833	0.294482499
834	0.2944219353
835	0.2943520492
836	0.2942917213
837	0.2942609037
838	0.2941729299
839	0.2938829058
840	0.2937033364
841	0.2934661394
842	0.2933077866
843	0.2932403436
844	0.2931735864
845	0.2930996927
846	0.2929516482
847	0.2929025714
848	0.2927597989
849	0.2926332281
850	0.2925782793
851	0.2923854442
852	0.2922833475
853	0.292122723
854	0.2919290093
855	0.2918226263
856	0.2917187723
857	0.2915106784
858	0.2913880938
859	0.2913553902
860	0.2913255584
861	0.2912146322
862	0.2911659841
863	0.2911430102
864	0.2910943621
865	0.2909795783
866	0.2907122923
867	0.2906675017
868	0.2905397737
869	0.2904150459
870	0.2903556181
871	0.2902972189
872	0.2902464706
873	0.2902168531
874	0.2901197283
875	0.2899689192
876	0.2898978115
877	0.2898734875
878	0.2897910643
879	0.2896420982
880	0.2894873673
881	0.289273037
882	0.2892198027
883	0.2891371866
884	0.2888995824
885	0.288875687
886	0.2887705256
887	0.2886730151
888	0.2885106547
889	0.2884623495
890	0.2883578097
891	0.2883301424
892	0.2882545557
893	0.2880129868
894	0.287924713
895	0.2877985494
896	0.2877099755
897	0.2875634954
898	0.2873860691
899	0.2873032388
900	0.2872600341
901	0.2872472827
902	0.2871670455
903	0.2868630056
904	0.2868320594
905	0.2867893476
906	0.2866843577
907	0.286630009
908	0.2865339986
909	0.2864833146
910	0.2864071064
911	0.2863168181
912	0.2862635409
913	0.2862101994
914	0.286073749
915	0.2857558004
916	0.2856894932
917	0.2856334729
918	0.2855559574
919	0.2854647476
920	0.2852811063
921	0.2852196426
922	0.2851355263
923	0.2850511101
924	0.28502355
925	0.2849457987
926	0.2848683475
927	0.2847050656
928	0.2845618644
929	0.2842829629
930	0.2842279284
931	0.2842093264
932	0.2841459553
933	0.2839090154
934	0.283847766
935	0.2837785871
936	0.2836941923
937	0.2835857949
938	0.283477526
939	0.2832770401
940	0.2832139476
941	0.2831056573
942	0.2830439578
943	0.2828481438
944	0.2828040819
945	0.2827286024
946	0.2826921056
947	0.2826755609
948	0.2824424572
949	0.282252151
950	0.2821341525
951	0.282006253
952	0.281977107
953	0.281909514
954	0.2818635662
955	0.281684704
956	0.2815973732
957	0.2815705203
958	0.2813088063
959	0.2812362842
960	0.2811811426
961	0.2811172142
962	0.2809054985
963	0.2808140958
964	0.280756061
965	0.2805810778
966	0.2805305438
967	0.280290325
968	0.2802261181
969	0.2801888069
970	0.2799702762
971	0.2797883709
972	0.2795559744
973	0.2794464626
974	0.2792003503
975	0.2790430048
976	0.2790107941
977	0.2789680824
978	0.2789346073
979	0.2786933385
980	0.2785919704
981	0.2784777438
982	0.2784142226
983	0.2783007032
984	0.2782301313
985	0.2779652028
986	0.2777011528
987	0.2775610806
988	0.2774590482
989	0.2773804611
990	0.2773661238
991	0.2773036957
992	0.277228859
993	0.2771292269
994	0.2771114392
995	0.2769218402
996	0.2768836289
997	0.2768353023
998	0.276731041
999	0.2765551792
